0,n02119789,None,kit fox,Vulpes macrotis,,,,,,,,
1,n02100735,dog,English setter,,,,,,,,,
2,n02110185,dog,Siberian husky,,,,,,,,,
3,n02096294,dog,Australian terrier,,,,,,,,,
4,n02102040,dog,English springer,English springer spaniel,,,,,,,,
5,n02066245,None,grey whale,gray whale,devilfish,Eschrichtius gibbosus,Eschrichtius robustus,,,,,
6,n02509815,None,lesser panda,red panda,panda,bear cat,cat bear,Ailurus fulgens,,,,
7,n02124075,cat,Egyptian cat,,,,,,,,,
8,n02417914,None,ibex,Capra ibex,,,,,,,,
9,n02123394,cat,Persian cat,,,,,,,,,
10,n02125311,cat,cougar,puma,catamount,mountain lion,painter,panther,Felis concolor,,,
11,n02423022,None,gazelle,,,,,,,,,
12,n02346627,None,porcupine,hedgehog,,,,,,,,
13,n02077923,None,sea lion,,,,,,,,,
14,n02110063,dog,malamute,malemute,Alaskan malamute,,,,,,,
15,n02447366,person,badger,,,,,,,,,
16,n02109047,dog,Great Dane,,,,,,,,,
17,n02089867,dog,Walker hound,Walker foxhound,,,,,,,,
18,n02102177,dog,Welsh springer spaniel,,,,,,,,,
19,n02091134,dog,whippet,,,,,,,,,
20,n02092002,dog,Scottish deerhound,deerhound,,,,,,,,
21,n02071294,None,killer whale,killer,orca,grampus,sea wolf,Orcinus orca,,,,
22,n02442845,None,mink,,,,,,,,,
23,n02504458,elephant,African elephant,Loxodonta africana,,,,,,,,
24,n02092339,dog,Weimaraner,,,,,,,,,
25,n02098105,dog,soft-coated wheaten terrier,,,,,,,,,
26,n02096437,dog,Dandie Dinmont,Dandie Dinmont terrier,,,,,,,,
27,n02114712,None,red wolf,maned wolf,Canis rufus,Canis niger,,,,,,
28,n02105641,dog,Old English sheepdog,bobtail,,,,,,,,
29,n02128925,None,jaguar,panther,Panthera onca,Felis onca,,,,,,
30,n02091635,dog,otterhound,otter hound,,,,,,,,
31,n02088466,dog,bloodhound,sleuthhound,,,,,,,,
32,n02096051,dog,Airedale,Airedale terrier,,,,,,,,
33,n02117135,None,hyena,hyaena,,,,,,,,
34,n02138441,None,meerkat,mierkat,,,,,,,,
35,n02097130,dog,giant schnauzer,,,,,,,,,
